id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
terminator_2_judgment_day,102773223,2023-01-26,Rene Jordan,False,,rotten,El Nuevo Herald (Miami),"Aside from technological hubris, it's nothing out of this world.  [Full review in Spanish] ",NEGATIVE,https://www.newspapers.com/clip/117262594/terminator-2-12/
terminator_2_judgment_day,2814692,2021-08-17,Bill Cosford,True,3/4,fresh,Miami Herald,"Amazing things happen in Terminator 2, things you've never seen in movies -- things you didn't know the movies could do.",POSITIVE,https://www.newspapers.com/clip/83624165/terminator-2-judgement-day-1/
terminator_2_judgment_day,2806180,2021-07-16,Stephen Silver,False,5/5,fresh,Tilt Magazine,"Its legacy still holds up today, thanks to all of those elements- the plot, the effects, the action, and that performance from its leading man. (30th anniversary)",POSITIVE,https://tilt.goombastomp.com/film/temterminator-2-judgment-day-em-remains-an-action-landmark/
terminator_2_judgment_day,2728232,2020-09-24,Mike Massie,False,10/10,fresh,Gone With The Twins,"While bigger isn't always better, writer/director James Cameron's follow-up is genuinely bigger and better in nearly every way.",POSITIVE,http://gonewiththetwins.com/new/terminator-2-judgment-day-1991/
terminator_2_judgment_day,2577709,2019-04-16,Richard Trenholm,False,,fresh,CNET,James Cameron's update of his sci-fi action classic is a great night at the movies. Just don't expect it to change your mind about 3D.,POSITIVE,https://www.cnet.com/news/terminator-2-still-a-blast-even-in-3d-james-cameron-t2-judgment-day/
terminator_2_judgment_day,2527109,2018-11-02,Ed Travis,False,,fresh,Cinapse,"Inarguably one of the greatest sequels ever made, Terminator 2 builds itself upon a few key ideas that upend the audience's expectations and work like gangbusters with industry-altering technological execution.",POSITIVE,https://cinapse.co/terminator-2-judgement-day-prestige-4k-uhd-48e6826d4cb1
terminator_2_judgment_day,2524530,2018-10-31,Sean Mulvihill,False,5/5,fresh,FanboyNation.com,No matter how bad the sequels get they can't undo the greatness of Terminator 2. This is a movie that will live forever.,POSITIVE,http://fanboynation.com/terminator-2-judgment-day-1991/
terminator_2_judgment_day,2517039,2018-10-10,Alan French,False,4/4,fresh,AwardsCircuit.com,Cameron's vision makes the engine go and shows why he is one of the best blockbuster directors ever.,POSITIVE,http://www.awardscircuit.com/2018/04/06/historical-circuit-terminator-2-remains-one-of-the-greatest-sequels-ever/
terminator_2_judgment_day,2492917,2018-07-25,Bryant Frazer,False,3/4,fresh,Film Freak Central,"Terminator 2 is genuinely reverential towards Arnold, gazing raptly upon his physical form and elevating his lack of affect to something like a Platonic ideal of masculinity.",POSITIVE,http://www.filmfreakcentral.net/ffc/2018/07/terminator-2-judgment-day-4k-ultra-hd-blu-ray-digital-hd.html
terminator_2_judgment_day,2486405,2018-06-22,Animal Johns,False,9/10,fresh,Starburst,T2 truly attains the test of time with a fabulous story connected with smart and effective special effects that complement the story.,POSITIVE,https://www.starburstmagazine.com/reviews/terminator2-judgement-day
terminator_2_judgment_day,2482154,2018-06-03,Dennis King,False,4/5,fresh,Tulsa World,"With Terminator 2: Judgment Day, Cameron has bested his own earlier effort with a sequel that takes the original themes, the darkly high-tech style and the cutting wit of his 1984 sci-fi hit The Terminator and pumps the energy up to kinetic overload.",POSITIVE,http://www.tulsaworld.com/archives/terminator-judgment-day/article_77e610c2-d1d3-5c51-b31a-50a9bff75f35.html
terminator_2_judgment_day,2473964,2018-04-27,Jay Carr,True,,rotten,Boston Globe,"This time Mr. Heavy Metal is on the side of the good guys. Naturally, he isn't quite as much fun.",NEGATIVE,http://pqasb.pqarchiver.com/boston-sub/doc/294609799.html?FMT=FT&FMTS=ABS:FT&type=current&date=Jul+3%2C+1991&author=Carr%2C+Jay&pub=Boston+Globe+%28pre-1997+Fulltext%29&edition=&startpage=NOPGCIT&desc=Terminator+turns+good%2C+which+is+too+bad
terminator_2_judgment_day,2447372,2018-01-03,Mike Ryan,False,,fresh,Uproxx,The main point to take away from this: Terminator 2: Judgment Day is (a) still great and (b) retroactively depressing because these characters all seem to be in a better situation than we are right now.,POSITIVE,http://uproxx.com/movies/terminator-2-judgement-day/
terminator_2_judgment_day,2441346,2017-12-07,José Martín,False,,fresh,El antepenúltimo mohicano,"Terminator 2 is not only a bigger work than the original, it also cares more about the characters and their development, something that in the 1984 version was solved in a somewhat schematic way. [Full review in Spanish]",POSITIVE,http://www.elantepenultimomohicano.com/2017/12/cineclub-terminator-2-el-juicio-final.html
terminator_2_judgment_day,2419901,2017-09-16,James Kendrick,False,4/4,fresh,Q Network Film Desk,"embodies all that is great about summer movie thrills while also weaving through the various chase scenes, shoot-outs, and massive billowing explosions a genuine sense of human feeling and moral concern",POSITIVE,http://www.qnetwork.com/review/3922
